iter	Passed	Remaining
497	21967	22143
498	22014	22102
499	22052	22052
500	22094	22005
501	22137	21961
502	22186	21921
503	22230	21877
504	22286	21845
505	22327	21798
506	22369	21751
507	22414	21708
508	22457	21663
509	22506	21623
510	22549	21578
511	22598	21538
512	22645	21498
513	22698	21462
514	22740	21415
515	22782	21369
516	22824	21323
517	22866	21277
518	22908	21231
519	22947	21182
520	22995	21141
521	23046	21104
522	23092	21061
523	23136	21017
524	23178	20970
525	23224	20928
526	23280	20895
527	23336	20861
528	23390	20825
529	23454	20799
530	23503	20758
531	23541	20709
532	23583	20663
533	23631	20622
534	23675	20577
535	23733	20545
536	23773	20497
537	23819	20454
538	23863	20410
539	23906	20365
540	23953	20322
541	23995	20277
542	24041	20233
543	24086	20190
544	24127	20142
545	24172	20099
546	24220	20058
547	24264	20014
548	24309	19970
549	24340	19915
550	24374	19862
551	24414	19814
552	24459	19771
553	24497	19721
554	24535	19672
555	24583	19631
556	24623	19583
557	24668	19540
558	24714	19497
559	24759	19454
560	24794	19402
561	24834	19355
562	24882	19313
563	24925	19268
564	24965	19220
565	25009	19177
566	25055	19134
567	25103	19092
568	25147	19048
569	25185	18999
570	25229	18955
571	25270	18908
572	25306	18858
573	25341	18807
574	25391	18767
575	25435	18723
576	25473	18674
577	25519	18631
578	25558	18583
579	25599	18537
580	25647	18496
581	25686	18448
582	25734	18406
583	25778	18362
584	25832	18325
585	25880	18284
586	25922	18238
587	25961	18190
588	25998	18141
589	26038	18094
590	26071	18042
591	26116	17999
592	26167	17959
593	26204	17911
594	26249	17867
595	26303	17830
596	26339	17780
597	26386	17738
598	26426	17691
599	26459	17639
600	26503	17595
601	26545	17549
602	26588	17505
603	26638	17464
604	26696	17429
605	26742	17387
606	26783	17340
607	26829	17297
608	26874	17254
609	26916	17208
610	26959	17163
611	26998	17116
612	27032	17066
613	27081	17024
614	27138	16989
615	27179	16943
616	27221	16897
617	27263	16852
618	27311	16810
619	27357	16767
620	27391	16716
621	27431	16670
622	27484	16632
623	27529	16588
624	27572	16543
625	27625	16504
626	27671	16461
627	27719	16420
628	27758	16372
629	27802	16328
630	27840	16280
631	27883	16235
632	27920	16187
633	27968	16145
634	28011	16101
635	28047	16052
636	28099	16012
637	28145	15969
638	28185	15923
639	28226	15877
640	28273	15834
641	28313	15788
642	28356	15743
643	28393	15695
644	28433	15649
645	28477	15605
646	28525	15563
647	28566	15517
648	28600	15467
649	28652	15428
650	28695	15383
651	28742	15340
652	28779	15293
653	28816	15245
654	28861	15201
655	28900	15155
656	28950	15114
657	28999	15072
658	29047	15030
659	29102	14992
660	29151	14950
661	29192	14904
662	29241	14863
663	29288	14820
664	29321	14770
665	29359	14723
666	29404	14680
667	29456	14639
668	29499	14595
669	29544	14551
670	29585	14505
671	29639	14466
672	29673	14418
673	29716	14373
674	29758	14327
675	29787	14276
676	29822	14228
677	29862	14182
678	29898	14134
679	29935	14087
680	29980	14043
681	30026	14000
682	30059	13951
683	30097	13904
684	30132	13856
685	30177	13813
686	30219	13768
687	30259	13722
688	30297	13675
689	30342	13632
690	30385	13587
691	30435	13546
692	30482	13503
693	30528	13460
694	30575	13418
695	30625	13376
696	30670	13333
697	30727	13294
698	30766	13248
699	30809	13204
700	30851	13159
701	30896	13115
702	30938	13070
703	30977	13024
704	31017	12979
705	31062	12935
706	31106	12891
707	31144	12844
708	31183	12798
709	31227	12754
710	31273	12711
711	31308	12664
712	31346	12617
713	31383	12571
714	31422	12525
715	31470	12482
716	31506	12435
717	31551	12392
718	31602	12350
719	31649	12308
720	31695	12265
721	31735	12219
722	31778	12175
723	31820	12130
724	31861	12085
725	31909	12042
726	31953	11999
727	31998	11955
728	32044	11912
729	32082	11866
730	32121	11820
731	32171	11778
732	32213	11734
733	32258	11690
734	32299	11645
735	32356	11606
736	32401	11562
737	32448	11519
738	32499	11478
739	32546	11435
740	32602	11395
741	32650	11352
742	32697	11310
743	32743	11266
744	32789	11223
745	32832	11178
746	32877	11135
747	32925	11092
748	32967	11047
749	33008	11002
750	33045	10956
751	33086	10911
752	33126	10866
753	33176	10824
754	33223	10780
755	33270	10738
756	33317	10695
757	33356	10649
758	33397	10604
759	33446	10561
760	33499	10520
761	33581	10488
762	33629	10445
763	33692	10407
764	33747	10366
765	33784	10320
766	33843	10280
767	33882	10235
768	33933	10193
769	33978	10149
770	34019	10104
771	34056	10057
772	34105	10015
773	34156	9973
774	34203	9929
775	34251	9887
776	34300	9844
777	34344	9800
778	34390	9756
779	34435	9712
780	34483	9669
781	34537	9627
782	34592	9586
783	34645	9545
784	34691	9501
785	34739	9458
786	34784	9414
787	34834	9371
788	34880	9328
789	34916	9281
790	34954	9235
791	34998	9191
792	35044	9147
793	35083	9102
794	35130	9058
795	35171	9013
796	35215	8969
797	35260	8925
798	35305	8881
799	35346	8836
800	35391	8792
801	35431	8747
802	35479	8704
803	35526	8660
804	35575	8617
805	35625	8574
806	35670	8530
807	35711	8485
808	35750	8440
809	35799	8397
810	35837	8351
811	35879	8307
812	35930	8264
813	35967	8218
814	36012	8174
815	36094	8138
816	36131	8093
817	36169	8047
818	36213	8003
819	36261	7959
820	36312	7917
821	36351	7871
822	36394	7827
823	36445	7784
824	36491	7740
825	36553	7700
826	36599	7656
827	36648	7612
828	36691	7568
829	36740	7525
830	36780	7480
831	36817	7434
832	36865	7390
833	36910	7346
834	36958	7303
835	36992	7256
836	37035	7212
837	37080	7168
838	37120	7123
839	37163	7078
840	37209	7034
841	37250	6989
842	37304	6947
843	37343	6902
844	37380	6856
845	37428	6813
846	37474	6769
847	37528	6726
848	37579	6683
849	37631	6640
850	37681	6597
851	37723	6552
852	37771	6509
853	37817	6465
854	37864	6421
855	37903	6376
856	37950	6332
857	37988	6287
858	38030	6242
859	38077	6198
860	38118	6153
861	38164	6109
862	38200	6064
863	38242	6019
864	38293	5976
865	38341	5932
866	38390	5889
867	38429	5844
868	38467	5798
869	38522	5756
870	38572	5712
871	38622	5669
872	38680	5627
873	38725	5582
874	38769	5538
875	38816	5494
876	38861	5450
877	38906	5406
878	38952	5362
879	38998	5318
880	39043	5273
881	39081	5228
882	39119	5183
883	39167	5139
884	39210	5095
885	39253	5050
886	39291	5005
887	39328	4960
888	39363	4914
889	39409	4870
890	39454	4826
891	39496	4782
892	39547	4738
893	39597	4694
894	39647	4651
895	39695	4607
896	39742	4563
897	39789	4519
898	39830	4474
899	39869	4429
900	39908	4385
901	39950	4340
902	39985	4295
903	40035	4251
904	40073	4206
905	40112	4161
906	40150	4116
907	40192	4072
908	40235	4027
909	40277	3983
910	40319	3939
911	40366	3895
912	40411	3850
913	40456	3806
914	40510	3763
915	40556	3719
916	40598	3674
917	40630	3629
918	40676	3585
919	40715	3540
920	40773	3497
921	40822	3453
922	40863	3409
923	40902	3364
924	40944	3319
925	40983	3275
926	41031	3231
927	41073	3186
928	41116	3142
929	41155	3097
930	41198	3053
931	41240	3008
932	41283	2964
933	41328	2920
934	41368	2875
935	41407	2831
936	41451	2787
937	41498	2742
938	41544	2698
939	41597	2655
940	41640	2610
941	41685	2566
942	41734	2522
943	41780	2478
944	41813	2433
945	41856	2389
946	41908	2345
947	41952	2301
948	41994	2256
949	42044	2212
950	42087	2168
951	42132	2124
952	42178	2080
953	42221	2035
954	42267	1991
955	42313	1947
956	42355	1903
957	42396	1858
958	42435	1814
959	42483	1770
960	42528	1725
961	42577	1681
962	42621	1637
963	42671	1593
964	42718	1549
965	42766	1505
966	42806	1460
967	42844	1416
968	42889	1372
969	42939	1328
970	42983	1283
971	43024	1239
972	43071	1195
973	43118	1150
974	43157	1106
975	43201	1062
976	43246	1018
977	43282	973
978	43319	929
979	43353	884
980	43411	840
981	43471	796
982	43524	752
983	43571	708
984	43621	664
985	43682	620
986	43746	576
987	43818	532
988	43882	488
989	43943	443
990	43981	399
991	44031	355
992	44082	310
993	44131	266
994	44173	221
995	44219	177
996	44266	133
997	44320	88
998	44376	44
999	44425	0
