iter	RMSE
122	0.5108308675
123	0.5105894727
124	0.5094435367
125	0.5090841221
126	0.5076388534
127	0.5072201966
128	0.506822419
129	0.5053987098
130	0.5050412112
131	0.5047907813
132	0.5046344362
133	0.5043080902
134	0.5039848352
135	0.5029873518
136	0.502677678
137	0.5023184563
138	0.5019980785
139	0.5015575529
140	0.5014196811
141	0.5009354948
142	0.5006856055
143	0.5002617166
144	0.4991329371
145	0.4988433932
146	0.4984341766
147	0.4978232546
148	0.4968239349
149	0.4962912425
150	0.4956434064
151	0.4950760326
152	0.4944422966
153	0.4917219573
154	0.491269872
155	0.4908867901
156	0.4903576054
157	0.4901573135
158	0.4897949712
159	0.4891733986
160	0.4889057984
161	0.4886629922
162	0.4884368887
163	0.4880448208
164	0.4879280884
165	0.4876408026
166	0.4875122223
167	0.4871072864
168	0.4870598884
169	0.4868647595
170	0.4864817981
171	0.4858711557
172	0.4855784843
173	0.4851359545
174	0.4845423395
175	0.4836147695
176	0.4833043248
177	0.4829687454
178	0.4828906646
179	0.482541424
180	0.4823980119
181	0.4820621312
182	0.4816238885
183	0.4806517604
184	0.4799683948
185	0.4797268814
186	0.4791928184
187	0.4788214678
188	0.4778574552
189	0.4775730711
190	0.4774391692
191	0.4771608751
192	0.4770778486
193	0.4766766479
194	0.476515738
195	0.4762478737
196	0.4761287281
197	0.475605865
198	0.475517013
199	0.4752917761
200	0.4749837598
201	0.4747949851
202	0.4743266761
203	0.4742833144
204	0.47409302
205	0.4740152566
206	0.4736717595
207	0.4706497636
208	0.4701215772
209	0.4700276351
210	0.4689499396
211	0.4687758695
212	0.4685946022
213	0.468031563
214	0.4678971319
215	0.4676751735
216	0.4673200203
217	0.4672450249
218	0.466915009
219	0.4666066181
220	0.4662212753
221	0.4654088703
222	0.4651485551
223	0.4645926334
224	0.4641355927
225	0.4640528786
226	0.4638052304
227	0.4636549276
228	0.463535305
229	0.4630538044
230	0.4627127728
231	0.4625373818
232	0.4619266587
233	0.4618418856
234	0.4618231785
235	0.461391954
236	0.4608233058
237	0.4606368442
238	0.4604638313
239	0.4599266859
240	0.4594001316
241	0.459260844
242	0.4591061478
243	0.4590662392
244	0.458762222
245	0.4583407097
246	0.4582005961
247	0.4580332156
248	0.4578901131
249	0.4577076987
250	0.457466296
251	0.4571174762
252	0.456812325
253	0.4565893537
254	0.4557921898
255	0.4552891896
256	0.4550869272
257	0.4548858305
258	0.4544732905
259	0.4543065791
260	0.4541016776
261	0.4539093516
262	0.4537307093
263	0.4535345359
264	0.4532714824
265	0.4529337204
266	0.4528275135
267	0.4525823758
268	0.4525215727
269	0.4522860367
270	0.4521319401
271	0.4520006661
272	0.4518745523
273	0.4516017132
274	0.4510643254
275	0.4509661577
276	0.450807949
277	0.4504671802
278	0.4502501672
279	0.4501685852
280	0.4493960927
281	0.4491900622
282	0.4490132434
283	0.4487225141
284	0.4483564191
285	0.4480176474
286	0.4477767357
287	0.4475148297
288	0.4474059682
289	0.4473750797
290	0.4471997278
291	0.4471298488
292	0.4467595805
293	0.4464521664
294	0.4463739422
295	0.4461531493
296	0.4459457606
297	0.4456715973
298	0.4453310621
299	0.445103548
300	0.4449624696
301	0.4446933441
302	0.444635826
303	0.4445781251
304	0.4444536831
305	0.4443667218
306	0.4442309964
307	0.4439997459
308	0.44373734
309	0.4436347763
310	0.4432458284
311	0.4430799574
312	0.4427970787
313	0.4425586232
314	0.4423595728
315	0.4422519734
316	0.4418498229
317	0.4416210875
318	0.4414421774
319	0.4412241079
320	0.4409677581
321	0.4407815265
322	0.4405068903
323	0.4402938435
324	0.4398318836
325	0.4397195856
326	0.4395680741
327	0.4392631269
328	0.4389262356
329	0.4384700013
330	0.4380245734
331	0.4378012392
332	0.4373980622
333	0.4370980609
334	0.4369122801
335	0.4367010632
336	0.4364944071
337	0.4361023619
338	0.4358035641
339	0.435652798
340	0.4354687822
341	0.4354411146
342	0.4353661358
343	0.4350477485
344	0.4347749076
345	0.4346329495
346	0.4344132432
347	0.4340905167
348	0.4339177804
349	0.4339120297
350	0.4333823417
351	0.4333154467
352	0.4329392991
353	0.4328442319
354	0.4325571009
355	0.432105423
356	0.4315872315
357	0.4315080104
358	0.43141886
359	0.4313819547
360	0.4312831495
361	0.4310371956
362	0.4309028389
363	0.430525458
364	0.4304047575
365	0.4301618334
366	0.4300832997
367	0.4298727381
368	0.4297865596
369	0.4294476997
370	0.4291942847
371	0.4288075479
372	0.4287619223
373	0.4285246336
374	0.4283013057
375	0.4281606126
376	0.4278372622
377	0.4277400496
378	0.427655703
379	0.4275117335
380	0.4274081811
381	0.4274022022
382	0.4272505299
383	0.4269597625
384	0.4266093356
385	0.4264530428
386	0.4260122849
387	0.4256494395
388	0.4255890826
389	0.4255109605
390	0.4254795683
391	0.4253348552
392	0.4251359318
393	0.425067967
394	0.4246336386
395	0.4244238405
396	0.4242205438
397	0.424138753
398	0.4239652109
399	0.4237015979
400	0.4235939221
401	0.4234208465
402	0.423066944
403	0.4229800483
404	0.4228829007
405	0.4228091733
406	0.4225562931
407	0.4223235987
408	0.4220890599
409	0.4217324911
410	0.4215914694
411	0.4213893925
412	0.4209598554
413	0.4208286982
414	0.4207611162
415	0.4206418358
416	0.4204865124
417	0.4202666655
418	0.4200382825
419	0.4199559851
420	0.4198621962
421	0.4197330851
422	0.4195902768
423	0.4195606218
424	0.4194508179
425	0.4190040035
426	0.4189466521
427	0.4186314975
428	0.4184892743
429	0.4184230057
430	0.4183631227
431	0.4183053817
432	0.4181143272
433	0.4179416449
434	0.4176726959
435	0.4173649051
436	0.4173084878
437	0.4168991153
438	0.4166367238
439	0.4165888777
440	0.4164583431
441	0.4163807363
442	0.4163104349
443	0.4161717834
444	0.4160423541
445	0.4157658429
446	0.4156307643
447	0.4156262238
448	0.4155935204
449	0.4153548946
450	0.4153080358
451	0.4152305389
452	0.4150472321
453	0.4149569875
454	0.4148961126
455	0.4148250051
456	0.4147251813
457	0.4147197938
458	0.4146638973
459	0.4145842035
460	0.4140599662
461	0.4138564152
462	0.4138131575
463	0.4136852839
464	0.4136645726
465	0.4136062702
466	0.4135918273
467	0.4131946343
468	0.4127761081
469	0.4127252364
470	0.4124758575
471	0.412352848
472	0.4122507732
473	0.4118213161
474	0.4117894864
475	0.4116655926
476	0.4116311332
477	0.4113691686
478	0.4110728888
479	0.4110068142
480	0.4109380169
481	0.4106550864
482	0.4104616176
483	0.4104356872
484	0.4101297179
485	0.4097916577
486	0.4097021547
487	0.4095874886
488	0.4093069936
489	0.409051295
490	0.409011004
491	0.4090048821
492	0.4088463338
493	0.4087007316
494	0.4085436836
495	0.4084386934
496	0.4083515719
497	0.4081647303
498	0.4080627137
499	0.407980417
500	0.407918799
501	0.4078549451
502	0.4078252388
503	0.4076287427
504	0.4075853131
505	0.4073100725
506	0.4070673762
507	0.4070280558
508	0.4068908951
509	0.4067056631
510	0.406562638
511	0.4064556939
512	0.4063035192
513	0.4062100461
514	0.4061492052
515	0.4060419674
516	0.4059002499
517	0.4057645427
518	0.405561193
519	0.4054876599
520	0.405313636
521	0.4051567807
522	0.4050102008
523	0.4048437688
524	0.404732462
525	0.4043692804
526	0.4041841973
527	0.4039526536
528	0.4037203427
529	0.4033771022
530	0.4032250874
531	0.4031668432
532	0.4030862409
533	0.4029475698
534	0.4029348683
535	0.4027901779
536	0.4026074814
537	0.4024385238
538	0.4023927418
539	0.4023737719
540	0.4023035009
541	0.402256293
542	0.4022387094
543	0.4020718936
544	0.4020156632
545	0.4019909561
546	0.4019157066
547	0.40185164
548	0.4017290184
549	0.4015042956
550	0.401471827
551	0.4012404778
552	0.4011284415
553	0.4010776749
554	0.4010546871
555	0.4008390853
556	0.4008005816
557	0.4006770703
558	0.4006523743
559	0.4005785278
560	0.4001162605
561	0.4000405278
562	0.3999507816
563	0.3999332428
564	0.3997610831
565	0.3996617313
566	0.3995860869
567	0.3995450187
568	0.3993565488
569	0.3992720072
570	0.399234034
571	0.3991883559
572	0.3991575377
573	0.3990388875
574	0.3989251954
575	0.3988850371
576	0.3987316385
577	0.3985500099
578	0.3982134885
579	0.3981711
580	0.3980265133
581	0.3979951535
582	0.3979642887
583	0.3978896257
584	0.3978292367
585	0.3977841336
586	0.3976077543
587	0.3975359281
588	0.3973049809
589	0.3972331168
590	0.3971509122
591	0.3969473608
592	0.3969208618
593	0.3967048553
594	0.3964339986
595	0.3963567951
596	0.3962402813
597	0.3960640774
598	0.3959246444
599	0.395814889
600	0.3957211547
601	0.3956497685
602	0.3955864865
603	0.3954687853
604	0.3952325251
605	0.3951660216
606	0.3947713718
607	0.3947133432
608	0.3945215001
609	0.3944338143
610	0.3943340657
611	0.3942414395
612	0.3940235251
613	0.3939513224
614	0.3938436672
615	0.3937508247
616	0.3936726878
617	0.3935330343
618	0.3934890599
619	0.3933763675
620	0.39332896
621	0.3931406073
622	0.3930325973
623	0.3929237514
624	0.3928499481
625	0.3928123144
626	0.3925857623
627	0.3925486738
628	0.3924254284
629	0.3912271448
630	0.3911172237
631	0.3909593489
632	0.3907925967
633	0.3907047203
634	0.3906300495
635	0.390488848
636	0.3903643383
637	0.3903094821
638	0.3902567804
639	0.3902381559
640	0.3900008232
641	0.3897492887
642	0.3896027886
643	0.3895921874
644	0.3893847811
645	0.3893715416
646	0.3893391904
647	0.3892327911
648	0.3891706642
649	0.3888952252
650	0.38863498
651	0.3883093772
652	0.3882786998
653	0.3878000732
654	0.3875550638
655	0.3874867618
656	0.3873933241
657	0.3872371569
658	0.3871849567
659	0.3871354301
660	0.3870538942
661	0.3869525125
662	0.3869402215
663	0.3868514011
664	0.3864009485
665	0.3863576894
666	0.386226551
667	0.3861191038
668	0.3859976638
669	0.3858905231
670	0.385574261
671	0.3851259835
672	0.3849269769
673	0.3847922225
674	0.3843180263
675	0.3842574066
676	0.3842009627
677	0.3840484195
678	0.3839337599
679	0.383835637
680	0.383706262
681	0.3836350244
682	0.3834216955
683	0.3832312685
684	0.3831458589
685	0.3830438127
686	0.3829569048
687	0.3828582749
688	0.382753526
689	0.3825715365
690	0.3823917803
691	0.382377283
692	0.3820527718
693	0.3820329712
694	0.3819678751
695	0.3819026694
696	0.381866778
697	0.3818121973
698	0.3817702519
699	0.3816552548
700	0.3815356398
701	0.3813662038
702	0.3812401012
703	0.3811364614
704	0.3810387728
705	0.3809295836
706	0.380719326
707	0.3806177302
708	0.38052874
709	0.3804866844
710	0.3804149525
711	0.3803210217
712	0.3801463721
713	0.3801254139
714	0.3801081082
715	0.380029528
716	0.379941676
717	0.3798559095
718	0.3798175839
719	0.379554018
720	0.379523981
721	0.3794957346
722	0.3794380005
723	0.3794208469
724	0.3793095811
725	0.3792206072
726	0.3792162854
727	0.3790146676
728	0.3789259819
729	0.3788727176
730	0.3787083176
731	0.378679871
732	0.3785691619
733	0.3785356774
734	0.378473523
735	0.3783535556
736	0.3782975079
737	0.3782630283
738	0.3782338754
739	0.3781965734
740	0.3781381197
741	0.3779360875
742	0.3778694139
743	0.3777701329
744	0.3776281812
745	0.3776112153
746	0.3775918318
747	0.377494293
748	0.3773646131
749	0.3772541992
750	0.3771005638
751	0.3766833361
752	0.3765180039
753	0.3763797799
754	0.3762719348
755	0.3762294865
756	0.3761760256
757	0.3761128974
758	0.3758765388
759	0.3758546684
760	0.375699192
761	0.3756508959
762	0.3755779407
763	0.3754918961
764	0.3752491644
765	0.3751452493
766	0.375125258
767	0.3750647585
768	0.3750308325
769	0.3748765715
770	0.3746316944
771	0.3745085946
772	0.374391662
773	0.3743621552
774	0.3740164513
775	0.373958521
776	0.3736696587
777	0.3734503989
778	0.3733913389
779	0.373285988
780	0.3731872956
781	0.3731042541
782	0.3729788363
783	0.3728562649
784	0.3726832363
785	0.3725895968
786	0.3724891298
787	0.3723466745
788	0.3722287658
789	0.3720790852
790	0.3720450576
791	0.3719987069
792	0.3719690051
793	0.3719207301
794	0.3718345249
795	0.3717964946
796	0.3717903914
797	0.3717135726
798	0.3717087206
799	0.3715558153
800	0.3715031315
801	0.3714891373
802	0.3713559074
803	0.3713320645
804	0.371274349
805	0.3712004565
806	0.3710907408
807	0.3710901955
808	0.3710134107
809	0.3709747369
810	0.3709719047
811	0.3708127953
812	0.3707290666
813	0.3707211301
814	0.3707055134
815	0.3706028592
816	0.3703923108
817	0.370214005
818	0.3701354952
819	0.3698593813
820	0.3698288547
821	0.3697801234
822	0.3697511613
823	0.3696895901
824	0.3695773662
825	0.3695501029
826	0.369426796
827	0.3693823317
828	0.3691394865
829	0.3690557969
830	0.3689975208
831	0.3688626628
832	0.3688277518
833	0.3687022316
834	0.3685685167
835	0.3685521351
836	0.3685430925
837	0.3685092601
838	0.3684630177
839	0.3684581736
840	0.3683571523
841	0.3682929716
842	0.3681660402
843	0.3680993684
844	0.3680176575
845	0.3679744657
846	0.3678906597
847	0.3678672015
848	0.3677770346
849	0.3677157293
850	0.3676860689
851	0.3675896395
852	0.3674899108
853	0.3673812293
854	0.3673574997
855	0.3672649341
856	0.3672076581
857	0.367168487
858	0.3670931129
859	0.366846978
860	0.3668048088
861	0.3667572892
862	0.3666519084
863	0.3665012613
864	0.3664450786
865	0.3663988404
866	0.3663131702
867	0.3662354076
868	0.3661445372
869	0.3660008864
870	0.3657864818
871	0.3657792964
872	0.3657194774
873	0.3655525789
874	0.3655369852
875	0.3653647526
876	0.3653284677
877	0.3652206779
878	0.3650523201
879	0.3650221766
880	0.3650064017
881	0.3649235972
882	0.3645470229
883	0.3645150178
884	0.3644043019
885	0.364259289
886	0.3642144062
887	0.3640468904
888	0.3639576589
889	0.3638589738
890	0.3637416405
891	0.363642099
892	0.3635428206
893	0.3635128708
894	0.3633768179
895	0.3633448477
896	0.3633019241
897	0.3631606938
898	0.3631379948
899	0.363000181
900	0.3629755581
901	0.362923747
902	0.3628896005
903	0.3628802819
904	0.3628330147
905	0.3627828522
906	0.3626730544
907	0.3626527183
908	0.362600196
909	0.3625882301
910	0.3625321963
911	0.362525059
912	0.3624804483
913	0.362384273
914	0.3623399673
915	0.362338339
916	0.3621931666
917	0.3621862338
918	0.3621035562
919	0.3620811819
920	0.3620707867
921	0.3620530599
922	0.3620480176
923	0.3620099123
924	0.3619708393
925	0.361726249
926	0.3616079085
927	0.3615163365
928	0.3614658258
929	0.3613563243
930	0.3613458996
931	0.3611862112
932	0.3610422993
933	0.3609189658
934	0.3608016635
935	0.3607214893
936	0.3606917107
937	0.3606753507
938	0.3606551838
939	0.3605540938
940	0.3604295702
941	0.360373639
942	0.3602501002
943	0.3601731986
944	0.3601065543
945	0.3600689676
946	0.3600195049
947	0.359915871
948	0.3598971528
949	0.3598864136
950	0.3598581487
951	0.3597689867
952	0.3596145119
953	0.3595493552
954	0.3595295974
955	0.3595031561
956	0.359388967
957	0.3592885291
958	0.3592715506
959	0.3590998308
960	0.3590385532
961	0.3588470296
962	0.3587860262
963	0.3586549343
964	0.3585865717
965	0.3585688711
966	0.3584688322
967	0.3584305772
968	0.3582913113
969	0.358166738
970	0.3580136403
971	0.3579306036
972	0.3578392058
973	0.3577492668
974	0.3576782187
975	0.3576334223
976	0.3575771395
977	0.3573936409
978	0.3573557098
979	0.3572980468
980	0.3572223347
981	0.3571211512
982	0.3570775088
983	0.3570024044
984	0.3569877015
985	0.3568272175
986	0.3567993663
987	0.3567380257
988	0.3567099035
989	0.3566990196
990	0.3566465786
991	0.3565628152
992	0.356537336
993	0.3563206218
994	0.3562395682
995	0.356141261
996	0.3560738245
997	0.355989401
998	0.3559541701
999	0.3559436441
